uid,client_name,client_ip,sender_ip,client_timestamp,client_lat,client_long,event_type
59794,pidrive,0.0.0.0,192.168.1.23,1402843571,40.637796,-89.476343,1
59795,pidrive,0.0.0.0,192.168.1.23,1402843571,40.637796,-89.476343,2
59796,pidrive,0.0.0.0,192.168.1.23,1402843571,40.637796,-89.476343,3
59797,pidrive,,,1402843571,40.637796,-89.476343,0
59798,pidrive,0.0.0.0,192.168.1.23,1402843571,40.637796,-89.476343,1
59799,pidrive,0.0.0.0,192.168.1.23,1402843571,40.637796,-89.476343,2
59801,pidrive,0.0.0.0,192.168.1.23,1402843571,40.637796,-89.476343,3
59802,pidrive,,,1402843571,40.637796,-89.476343,0
58872,pidrive,192.168.1.65,,1402843573,40.637820,-89.476177,4
59803,pidrive,0.0.0.0,192.168.1.23,1402843573,40.637820,-89.476177,1
59804,pidrive,0.0.0.0,192.168.1.23,1402843573,40.637820,-89.476177,2
59805,pidrive,0.0.0.0,192.168.1.23,1402843573,40.637820,-89.476177,3
59806,pidrive,,,1402843573,40.637820,-89.476177,0
58873,pidrive,192.168.1.65,,1402843574,40.637827,-89.476082,4
58874,pidrive,192.168.1.65,,1402843574,40.637827,-89.476082,4
59807,pidrive,0.0.0.0,192.168.1.23,1402843574,40.637827,-89.476082,1
59808,pidrive,0.0.0.0,192.168.1.23,1402843574,40.637827,-89.476082,2
59809,pidrive,0.0.0.0,192.168.1.23,1402843574,40.637827,-89.476082,3
59810,pidrive,,,1402843574,40.637827,-89.476082,0
59811,pidrive,0.0.0.0,192.168.1.23,1402843574,40.637827,-89.476082,1
59812,pidrive,0.0.0.0,192.168.1.23,1402843574,40.637827,-89.476082,2
59813,pidrive,0.0.0.0,192.168.1.23,1402843574,40.637827,-89.476082,3
59814,pidrive,,,1402843574,40.637827,-89.476082,0
58875,pidrive,192.168.1.65,,1402843576,40.637827,-89.475941,4
59815,pidrive,0.0.0.0,192.168.1.23,1402843576,40.637827,-89.475941,1
59816,pidrive,0.0.0.0,192.168.1.23,1402843576,40.637827,-89.475941,2
59817,pidrive,0.0.0.0,192.168.1.23,1402843576,40.637827,-89.475941,3
59818,pidrive,,,1402843576,40.637827,-89.475941,0
58876,pidrive,192.168.1.65,,1402843577,40.637820,-89.475882,4
58877,pidrive,192.168.1.65,,1402843577,40.637820,-89.475882,4
59819,pidrive,0.0.0.0,192.168.1.23,1402843577,40.637820,-89.475882,1
59820,pidrive,0.0.0.0,192.168.1.23,1402843577,40.637820,-89.475882,2
59821,pidrive,0.0.0.0,192.168.1.23,1402843577,40.637820,-89.475882,3
59822,pidrive,,,1402843577,40.637820,-89.475882,0
59823,pidrive,0.0.0.0,192.168.1.23,1402843577,40.637820,-89.475882,1
59824,pidrive,0.0.0.0,192.168.1.23,1402843577,40.637820,-89.475882,2
59825,pidrive,0.0.0.0,192.168.1.23,1402843577,40.637820,-89.475882,3
59826,pidrive,,,1402843577,40.637820,-89.475882,0
58878,pidrive,192.168.1.65,,1402843579,40.637781,-89.475787,4
59827,pidrive,0.0.0.0,192.168.1.23,1402843579,40.637781,-89.475787,1
59828,pidrive,0.0.0.0,192.168.1.23,1402843579,40.637781,-89.475787,2
59829,pidrive,0.0.0.0,192.168.1.23,1402843579,40.637781,-89.475787,3
59830,pidrive,,,1402843579,40.637781,-89.475787,0
58879,pidrive,192.168.1.65,,1402843580,40.637743,-89.475752,4
58880,pidrive,192.168.1.65,,1402843580,40.637743,-89.475752,4
59831,pidrive,0.0.0.0,192.168.1.23,1402843580,40.637743,-89.475752,1
59832,pidrive,0.0.0.0,192.168.1.23,1402843580,40.637743,-89.475752,2
